# 2theta(deg)  intensity
2.689390533557200480e-01 6.293492431640625000e+02
2.709998890136182670e-01 6.359565429687500000e+02
2.730607246715165415e-01 6.389045410156250000e+02
2.751215603294147605e-01 6.472636108398437500e+02
2.771823959873129795e-01 6.530427856445312500e+02
2.792432316452112540e-01 6.558197021484375000e+02
2.813040673031094729e-01 6.586284179687500000e+02
2.833649029610076919e-01 6.608291625976562500e+02
2.854257386189059664e-01 6.586339111328125000e+02
2.874865742768041854e-01 6.582618408203125000e+02
2.895474099347024044e-01 6.624774169921875000e+02
2.916082455926006789e-01 6.636154785156250000e+02
2.936690812504989534e-01 6.715621948242187500e+02
2.957299169083971169e-01 6.785088500976562500e+02
2.977907525662953914e-01 6.833654785156250000e+02
2.998515882241936659e-01 6.881422119140625000e+02
3.019124238820918293e-01 6.920985717773437500e+02
3.039732595399901038e-01 6.963700561523437500e+02
3.060340951978883783e-01 7.051316528320312500e+02
3.080949308557865418e-01 7.122349243164062500e+02
3.101557665136848163e-01 7.202062988281250000e+02
3.122166021715830908e-01 7.299364013671875000e+02
3.142774378294812543e-01 7.357006225585937500e+02
3.163382734873795288e-01 7.408985595703125000e+02
3.183991091452778033e-01 7.496536254882812500e+02
3.204599448031759668e-01 7.576428833007812500e+02
3.225207804610742413e-01 7.683773193359375000e+02
3.245816161189724602e-01 7.797901611328125000e+02
3.266424517768706792e-01 7.907492065429687500e+02
3.287032874347689537e-01 7.990950317382812500e+02
3.307641230926671727e-01 8.084847412109375000e+02
3.328249587505653917e-01 8.158855590820312500e+02
3.348857944084636662e-01 8.216895141601562500e+02
3.369466300663618852e-01 8.294091186523437500e+02
3.390074657242601042e-01 8.409036254882812500e+02
3.410683013821583787e-01 8.517825927734375000e+02
3.431291370400565977e-01 8.609624023437500000e+02
3.451899726979548721e-01 8.720304565429687500e+02
3.472508083558530911e-01 8.812423095703125000e+02
3.493116440137513101e-01 8.946967773437500000e+02
3.513724796716495846e-01 9.069896240234375000e+02
3.534333153295478036e-01 9.183925170898437500e+02
3.554941509874460226e-01 9.327560424804687500e+02
3.575549866453442971e-01 9.453500976562500000e+02
3.596158223032425161e-01 9.543394165039062500e+02
3.616766579611407351e-01 9.654333496093750000e+02
3.637374936190390096e-01 9.747178344726562500e+02
3.657983292769372285e-01 9.821889648437500000e+02
3.678591649348354475e-01 9.912677612304687500e+02
3.699200005927337220e-01 1.001687377929687500e+03
3.719808362506319410e-01 1.007876037597656250e+03
3.740416719085301600e-01 1.014382385253906250e+03
3.761025075664284345e-01 1.026088012695312500e+03
3.781633432243266535e-01 1.037598754882812500e+03
3.802241788822248725e-01 1.050977905273437500e+03
3.822850145401231470e-01 1.062511352539062500e+03
3.843458501980213660e-01 1.072482055664062500e+03
3.864066858559195849e-01 1.083619140625000000e+03
3.884675215138178594e-01 1.095849487304687500e+03
3.905283571717160784e-01 1.107203735351562500e+03
3.925891928296142974e-01 1.120300170898437500e+03
3.946500284875125719e-01 1.130874511718750000e+03
3.967108641454107909e-01 1.139226196289062500e+03
3.987716998033090099e-01 1.148056030273437500e+03
4.008325354612072844e-01 1.155556396484375000e+03
4.028933711191055589e-01 1.166778564453125000e+03
4.049542067770037224e-01 1.174721801757812500e+03
4.070150424349019969e-01 1.179866699218750000e+03
4.090758780928002714e-01 1.186791870117187500e+03
4.111367137506984348e-01 1.194613037109375000e+03
4.131975494085967093e-01 1.200301635742187500e+03
4.152583850664949838e-01 1.206354736328125000e+03
