# 2theta(deg)  intensity
1.030425714759355179e-03 5.548023605346679688e+01
3.091277144278065103e-03 5.476945114135742188e+01
5.152128573796775461e-03 1.021021041870117188e+02
7.212980003315484952e-03 1.007288742065429688e+02
9.273831432834195310e-03 1.020469055175781250e+02
1.133468286235290653e-02 9.538413238525390625e+01
1.339553429187161603e-02 8.241156768798828125e+01
1.545638572139032899e-02 7.034229278564453125e+01
1.751723715090903674e-02 4.429413986206054688e+01
1.957808858042774797e-02 3.704679870605468750e+01
2.163894000994645919e-02 3.037597656250000000e+01
2.369979143946516695e-02 2.250834655761718750e+01
2.576064286898387817e-02 3.466176605224609375e+01
2.782149429850258940e-02 4.106152725219726562e+01
2.988234572802130062e-02 3.852294540405273438e+01
3.194319715754000838e-02 4.037497329711914062e+01
3.400404858705871614e-02 4.384278869628906250e+01
3.606490001657743083e-02 4.388866806030273438e+01
3.812575144609613859e-02 4.441097259521484375e+01
4.018660287561484634e-02 5.635512542724609375e+01
4.224745430513356104e-02 6.270486831665039062e+01
4.430830573465226879e-02 6.117667388916015625e+01
4.636915716417097655e-02 6.042671585083007812e+01
4.843000859368969124e-02 5.131140518188476562e+01
5.049086002320839900e-02 4.634154129028320312e+01
5.255171145272710675e-02 4.784347915649414062e+01
5.461256288224582145e-02 4.697798538208007812e+01
5.667341431176453614e-02 4.862812805175781250e+01
5.873426574128324390e-02 5.024825286865234375e+01
6.079511717080195166e-02 5.373025894165039062e+01
6.285596860032065247e-02 5.832017517089843750e+01
6.491682002983938105e-02 5.817984771728515625e+01
6.697767145935808186e-02 6.077566528320312500e+01
6.903852288887678268e-02 6.068970108032226562e+01
7.109937431839551125e-02 5.272838211059570312e+01
7.316022574791421207e-02 4.764143753051757812e+01
7.522107717743291289e-02 4.803466796875000000e+01
7.728192860695164146e-02 5.406804656982421875e+01
7.934278003647034228e-02 5.685744476318359375e+01
8.140363146598904309e-02 5.728631210327148438e+01
8.346448289550777166e-02 5.670013809204101562e+01
8.552533432502647248e-02 5.313359069824218750e+01
8.758618575454517330e-02 5.011771392822265625e+01
8.964703718406390187e-02 5.166951751708984375e+01
9.170788861358260269e-02 5.518180847167968750e+01
9.376874004310130351e-02 5.886955642700195312e+01
9.582959147262003208e-02 5.744266510009765625e+01
9.789044290213873289e-02 5.507684707641601562e+01
9.995129433165743371e-02 5.777989578247070312e+01
1.020121457611761623e-01 5.824818038940429688e+01
1.040729971906948631e-01 6.061787033081054688e+01
1.061338486202135778e-01 6.784847259521484375e+01
1.081947000497322925e-01 6.842501831054687500e+01
1.102555514792509933e-01 6.575901031494140625e+01
1.123164029087697219e-01 6.731905364990234375e+01
1.143772543382884088e-01 7.276673126220703125e+01
1.164381057678071374e-01 7.764492797851562500e+01
1.184989571973258382e-01 8.241759490966796875e+01
1.205598086268445529e-01 9.218160247802734375e+01
1.226206600563632537e-01 9.805487060546875000e+01
1.246815114858819545e-01 9.864754486083984375e+01
1.267423629154006692e-01 1.054722671508789062e+02
1.288032143449193978e-01 1.095883102416992188e+02
1.308640657744380986e-01 1.135349426269531250e+02
1.329249172039567994e-01 1.240813827514648438e+02
1.349857686334755280e-01 1.316778259277343750e+02
1.370466200629942288e-01 1.392894744873046875e+02
1.391074714925129574e-01 1.486303558349609375e+02
1.411683229220316582e-01 1.565990447998046875e+02
1.432291743515503590e-01 1.626194305419921875e+02
1.452900257810690599e-01 1.704924468994140625e+02
1.473508772105877884e-01 1.688012390136718750e+02
1.494117286401064892e-01 1.747554168701171875e+02
1.514725800696252178e-01 1.854984436035156250e+02
1.535334314991439186e-01 1.935296020507812500e+02
1.555942829286626194e-01 2.043714447021484375e+02
1.576551343581813203e-01 2.121425018310546875e+02
1.597159857877000488e-01 2.182417144775390625e+02
1.617768372172187497e-01 2.238971405029296875e+02
1.638376886467374782e-01 2.358352661132812500e+02
1.658985400762561790e-01 2.427378997802734375e+02
1.679593915057748799e-01 2.468527526855468750e+02
1.700202429352935807e-01 2.562897644042968750e+02
1.720810943648123092e-01 2.656338500976562500e+02
1.741419457943310101e-01 2.722865600585937500e+02
1.762027972238497386e-01 2.789705505371093750e+02
1.782636486533684395e-01 2.913889770507812500e+02
1.803245000828871403e-01 2.957039184570312500e+02
1.823853515124058411e-01 3.005148315429687500e+02
1.844462029419245697e-01 3.166434020996093750e+02
1.865070543714432705e-01 3.283397827148437500e+02
1.885679058009619991e-01 3.359899902343750000e+02
1.906287572304806999e-01 3.454437255859375000e+02
1.926896086599994007e-01 3.583294372558593750e+02
1.947504600895181015e-01 3.716400146484375000e+02
1.968113115190368301e-01 3.795747070312500000e+02
1.988721629485555309e-01 3.955457763671875000e+02
2.009330143780742595e-01 4.036219787597656250e+02
2.029938658075929603e-01 4.126871643066406250e+02
2.050547172371116611e-01 4.291837463378906250e+02
2.071155686666303619e-01 4.439343566894531250e+02
2.091764200961490905e-01 4.564672241210937500e+02
2.112372715256678191e-01 4.668570556640625000e+02
2.132981229551865199e-01 4.817239379882812500e+02
2.153589743847052207e-01 4.903264465332031250e+02
2.174198258142239215e-01 4.998397521972656250e+02
2.194806772437426223e-01 5.155281982421875000e+02
2.215415286732613509e-01 5.273200683593750000e+02
2.236023801027800795e-01 5.330820922851562500e+02
2.256632315322987803e-01 5.451273193359375000e+02
2.277240829618174811e-01 5.535985107421875000e+02
2.297849343913362374e-01 5.591382446289062500e+02
2.318457858208549383e-01 5.642946166992187500e+02
2.339066372503736391e-01 5.731679077148437500e+02
2.359674886798923676e-01 5.752396850585937500e+02
2.380283401094110685e-01 5.770787353515625000e+02
2.400891915389297693e-01 5.789257812500000000e+02
2.421500429684484701e-01 5.810495605468750000e+02
2.442108943979671709e-01 5.867761840820312500e+02
2.462717458274858995e-01 5.910747070312500000e+02
2.483325972570046003e-01 5.956002807617187500e+02
2.503934486865233011e-01 6.010739746093750000e+02
2.524543001160420297e-01 6.031864013671875000e+02
2.545151515455607583e-01 6.025325927734375000e+02
2.565760029750794868e-01 6.054202880859375000e+02
2.586368544045981599e-01 6.088625488281250000e+02
2.606977058341168885e-01 6.114506225585937500e+02
2.627585572636355615e-01 6.200556640625000000e+02
2.648194086931542901e-01 6.231990356445312500e+02
2.668802601226730187e-01 6.253610839843750000e+02
2.689411115521916917e-01 6.297975463867187500e+02
2.710019629817104203e-01 6.348837890625000000e+02
2.730628144112290934e-01 6.382430419921875000e+02
2.751236658407478219e-01 6.466159057617187500e+02
2.771845172702665505e-01 6.528656005859375000e+02
2.792453686997852791e-01 6.561372680664062500e+02
2.813062201293040077e-01 6.584620361328125000e+02
2.833670715588226807e-01 6.609141845703125000e+02
2.854279229883414093e-01 6.596122436523437500e+02
2.874887744178600824e-01 6.586888427734375000e+02
2.895496258473788109e-01 6.623833007812500000e+02
2.916104772768975395e-01 6.629323730468750000e+02
2.936713287064162126e-01 6.700950317382812500e+02
2.957321801359349411e-01 6.772078247070312500e+02
2.977930315654536142e-01 6.825979614257812500e+02
2.998538829949723428e-01 6.886388549804687500e+02
3.019147344244910713e-01 6.918210449218750000e+02
3.039755858540097999e-01 6.955240478515625000e+02
3.060364372835285285e-01 7.039714965820312500e+02
3.080972887130472015e-01 7.114180297851562500e+02
3.101581401425659301e-01 7.188678588867187500e+02
3.122189915720846032e-01 7.295534057617187500e+02
3.142798430016033318e-01 7.351151123046875000e+02
3.163406944311220603e-01 7.413991088867187500e+02
3.184015458606407334e-01 7.486335449218750000e+02
3.204623972901594620e-01 7.571008911132812500e+02
3.225232487196781350e-01 7.682832641601562500e+02
3.245841001491968636e-01 7.786983032226562500e+02
3.266449515787156477e-01 7.893892822265625000e+02
3.287058030082343207e-01 7.983316040039062500e+02
3.307666544377530493e-01 8.089830322265625000e+02
3.328275058672717224e-01 8.151058959960937500e+02
3.348883572967904509e-01 8.202913208007812500e+02
3.369492087263091240e-01 8.294863281250000000e+02
3.390100601558278526e-01 8.396212158203125000e+02
3.410709115853465812e-01 8.511914672851562500e+02
3.431317630148652542e-01 8.615004272460937500e+02
3.451926144443839828e-01 8.719636230468750000e+02
3.472534658739026558e-01 8.807456665039062500e+02
3.493143173034214399e-01 8.947399291992187500e+02
3.513751687329401685e-01 9.075358276367187500e+02
3.534360201624588416e-01 9.171237792968750000e+02
3.554968715919775701e-01 9.316689453125000000e+02
3.575577230214962432e-01 9.449141845703125000e+02
3.596185744510149718e-01 9.542415771484375000e+02
3.616794258805336448e-01 9.660546264648437500e+02
3.637402773100523734e-01 9.746564331054687500e+02
3.658011287395711020e-01 9.822090454101562500e+02
3.678619801690897750e-01 9.913167114257812500e+02
3.699228315986085036e-01 1.000629760742187500e+03
3.719836830281271767e-01 1.008070373535156250e+03
3.740445344576459608e-01 1.015288330078125000e+03
3.761053858871646893e-01 1.026200805664062500e+03
3.781662373166833624e-01 1.038687866210937500e+03
3.802270887462020910e-01 1.051839843750000000e+03
3.822879401757207640e-01 1.062853515625000000e+03
3.843487916052394926e-01 1.072611450195312500e+03
3.864096430347582212e-01 1.083713256835937500e+03
3.884704944642768942e-01 1.096750488281250000e+03
3.905313458937956228e-01 1.107320800781250000e+03
3.925921973233142959e-01 1.120652343750000000e+03
3.946530487528330244e-01 1.131531738281250000e+03
3.967139001823516975e-01 1.139330200195312500e+03
3.987747516118704816e-01 1.148546142578125000e+03
4.008356030413892102e-01 1.156503906250000000e+03
4.028964544709078832e-01 1.167688476562500000e+03
4.049573059004266118e-01 1.175117187500000000e+03
4.070181573299452849e-01 1.180684448242187500e+03
4.090790087594640134e-01 1.187457153320312500e+03
4.111398601889827420e-01 1.194360717773437500e+03
4.132007116185014151e-01 1.200156616210937500e+03
4.152615630480201436e-01 1.206069091796875000e+03
4.173224144775388167e-01 1.210910278320312500e+03
4.193832659070575453e-01 1.215568969726562500e+03
4.214441173365762738e-01 1.220222656250000000e+03
4.235049687660950024e-01 1.229443481445312500e+03
4.255658201956137310e-01 1.236543457031250000e+03
4.276266716251324040e-01 1.243943481445312500e+03
4.296875230546511326e-01 1.248728271484375000e+03
4.317483744841698057e-01 1.252832397460937500e+03
4.338092259136885342e-01 1.257999877929687500e+03
