# 2theta(deg)  intensity
2.873534426895753002e-01 1.999028198242187500e+03
2.894133239991779627e-01 2.009846191406250000e+03
2.914732053087806807e-01 2.022458862304687500e+03
2.935330866183833987e-01 2.028948852539062500e+03
2.955929679279860611e-01 2.039855834960937500e+03
2.976528492375887791e-01 2.049853271484375000e+03
2.997127305471914416e-01 2.061838134765625000e+03
3.017726118567941596e-01 2.078568847656250000e+03
3.038324931663968220e-01 2.090683349609375000e+03
3.058923744759995400e-01 2.104107666015625000e+03
3.079522557856022025e-01 2.120967773437500000e+03
3.100121370952049205e-01 2.130222656250000000e+03
3.120720184048075829e-01 2.145110595703125000e+03
3.141318997144103009e-01 2.164260009765625000e+03
3.161917810240129634e-01 2.182534667968750000e+03
3.182516623336156814e-01 2.196619384765625000e+03
3.203115436432183993e-01 2.214493164062500000e+03
3.223714249528210618e-01 2.227168212890625000e+03
3.244313062624237243e-01 2.237555419921875000e+03
3.264911875720263867e-01 2.247354492187500000e+03
3.285510688816291047e-01 2.263559326171875000e+03
3.306109501912317672e-01 2.277727783203125000e+03
3.326708315008344852e-01 2.287160888671875000e+03
3.347307128104371476e-01 2.301048339843750000e+03
3.367905941200398656e-01 2.315747802734375000e+03
3.388504754296425281e-01 2.330480712890625000e+03
3.409103567392452461e-01 2.341570068359375000e+03
3.429702380488479085e-01 2.354183105468750000e+03
3.450301193584506265e-01 2.363174560546875000e+03
3.470900006680533445e-01 2.372017089843750000e+03
3.491498819776560070e-01 2.386082519531250000e+03
3.512097632872587250e-01 2.402106445312500000e+03
3.532696445968613874e-01 2.415167724609375000e+03
3.553295259064641054e-01 2.426757812500000000e+03
3.573894072160667679e-01 2.437582031250000000e+03
3.594492885256694858e-01 2.447053710937500000e+03
3.615091698352721483e-01 2.455356933593750000e+03
3.635690511448748663e-01 2.466377685546875000e+03
3.656289324544775288e-01 2.481139160156250000e+03
3.676888137640802467e-01 2.489419189453125000e+03
3.697486950736829092e-01 2.499947753906250000e+03
3.718085763832856272e-01 2.513304931640625000e+03
3.738684576928883452e-01 2.522942382812500000e+03
3.759283390024910076e-01 2.535125244140625000e+03
3.779882203120936701e-01 2.549682128906250000e+03
3.800481016216963326e-01 2.558664794921875000e+03
3.821079829312990506e-01 2.568197021484375000e+03
3.841678642409017130e-01 2.577114013671875000e+03
3.862277455505044310e-01 2.587707763671875000e+03
3.882876268601070935e-01 2.594629882812500000e+03
3.903475081697098115e-01 2.600340820312500000e+03
3.924073894793124739e-01 2.606840087890625000e+03
3.944672707889151919e-01 2.615040283203125000e+03
3.965271520985179099e-01 2.622848144531250000e+03
3.985870334081205724e-01 2.636278564453125000e+03
4.006469147177232903e-01 2.650415527343750000e+03
4.027067960273259528e-01 2.667098388671875000e+03
4.047666773369286708e-01 2.679339599609375000e+03
4.068265586465313333e-01 2.694318115234375000e+03
4.088864399561340512e-01 2.707063232421875000e+03
4.109463212657367137e-01 2.714559082031250000e+03
4.130062025753394317e-01 2.724324951171875000e+03
4.150660838849420942e-01 2.733175048828125000e+03
4.171259651945448121e-01 2.741458007812500000e+03
4.191858465041474746e-01 2.747867675781250000e+03
4.212457278137501926e-01 2.758304687500000000e+03
4.233056091233529106e-01 2.771428710937500000e+03
4.253654904329555730e-01 2.778909423828125000e+03
4.274253717425582910e-01 2.790353271484375000e+03
4.294852530521609535e-01 2.805178710937500000e+03
