# 2theta(deg)  intensity
7.810564979971265087e-01 3.196321533203125000e+03
7.844897133729381578e-01 3.198608154296875000e+03
7.879229287487496958e-01 3.196831542968750000e+03
7.913561441245611228e-01 3.195870605468750000e+03
7.947893595003727718e-01 3.199476806640625000e+03
7.982225748761843098e-01 3.204749511718750000e+03
8.016557902519958478e-01 3.207975341796875000e+03
8.050890056278073859e-01 3.203176513671875000e+03
8.085222210036189239e-01 3.199462158203125000e+03
8.119554363794304619e-01 3.197019042968750000e+03
8.153886517552419999e-01 3.196533203125000000e+03
8.188218671310535379e-01 3.197683837890625000e+03
8.222550825068650759e-01 3.197203369140625000e+03
8.256882978826767250e-01 3.205404052734375000e+03
8.291215132584881520e-01 3.205757812500000000e+03
8.325547286342996900e-01 3.201994628906250000e+03
8.359879440101113390e-01 3.195224609375000000e+03
8.394211593859228770e-01 3.198435546875000000e+03
8.428543747617343040e-01 3.200201171875000000e+03
8.462875901375459531e-01 3.205500732421875000e+03
8.497208055133574911e-01 3.207334960937500000e+03
8.531540208891690291e-01 3.207976318359375000e+03
8.565872362649805671e-01 3.205844482421875000e+03
8.600204516407921052e-01 3.203431884765625000e+03
8.634536670166036432e-01 3.204910888671875000e+03
8.668868823924152922e-01 3.209367919921875000e+03
8.703200977682267192e-01 3.209708496093750000e+03
8.737533131440382572e-01 3.208498291015625000e+03
8.771865285198499063e-01 3.209221923828125000e+03
8.806197438956614443e-01 3.210066650390625000e+03
8.840529592714728713e-01 3.212456298828125000e+03
8.874861746472845203e-01 3.213440917968750000e+03
8.909193900230960583e-01 3.213922607421875000e+03
8.943526053989075963e-01 3.210396240234375000e+03
8.977858207747191344e-01 3.211225830078125000e+03
9.012190361505306724e-01 3.212722412109375000e+03
9.046522515263422104e-01 3.214979980468750000e+03
9.080854669021537484e-01 3.208758300781250000e+03
9.115186822779651754e-01 3.202766113281250000e+03
9.149518976537769355e-01 3.198461181640625000e+03
9.183851130295884735e-01 3.199186035156250000e+03
9.218183284053999005e-01 3.201341552734375000e+03
9.252515437812114385e-01 3.200248046875000000e+03
9.286847591570229765e-01 3.199864990234375000e+03
9.321179745328345145e-01 3.203909423828125000e+03
9.355511899086461636e-01 3.204018798828125000e+03
9.389844052844577016e-01 3.203817382812500000e+03
9.424176206602692396e-01 3.204122558593750000e+03
9.458508360360807776e-01 3.201897460937500000e+03
9.492840514118922046e-01 3.199618652343750000e+03
9.527172667877037426e-01 3.201647216796875000e+03
9.561504821635155027e-01 3.202151611328125000e+03
9.595836975393269297e-01 3.201157714843750000e+03
9.630169129151384677e-01 3.202776123046875000e+03
9.664501282909500057e-01 3.203504394531250000e+03
9.698833436667615437e-01 3.204971679687500000e+03
9.733165590425730818e-01 3.204195800781250000e+03
9.767497744183847308e-01 3.203860839843750000e+03
9.801829897941962688e-01 3.203512695312500000e+03
9.836162051700078068e-01 3.209809082031250000e+03
9.870494205458192338e-01 3.214238769531250000e+03
9.904826359216307718e-01 3.214558349609375000e+03
9.939158512974423099e-01 3.212199462890625000e+03
9.973490666732540699e-01 3.207968261718750000e+03
1.000782282049065497e+00 3.203801757812500000e+03
1.004215497424877146e+00 3.205094238281250000e+03
1.007648712800688573e+00 3.206890625000000000e+03
