# 2theta(deg)  intensity
3.740445344576459608e-01 2.523900146484375000e+03
3.761053858871646893e-01 2.535903320312500000e+03
3.781662373166833624e-01 2.545930664062500000e+03
3.802270887462020910e-01 2.557840576171875000e+03
3.822879401757207640e-01 2.570968017578125000e+03
3.843487916052394926e-01 2.582932617187500000e+03
3.864096430347582212e-01 2.589621093750000000e+03
3.884704944642768942e-01 2.597146972656250000e+03
3.905313458937956228e-01 2.601106933593750000e+03
3.925921973233142959e-01 2.604466796875000000e+03
3.946530487528330244e-01 2.612611572265625000e+03
3.967139001823516975e-01 2.622890136718750000e+03
3.987747516118704816e-01 2.634355224609375000e+03
4.008356030413892102e-01 2.650961914062500000e+03
4.028964544709078832e-01 2.661925537109375000e+03
4.049573059004266118e-01 2.672484863281250000e+03
4.070181573299452849e-01 2.687383056640625000e+03
4.090790087594640134e-01 2.700462890625000000e+03
4.111398601889827420e-01 2.712096435546875000e+03
4.132007116185014151e-01 2.724341308593750000e+03
4.152615630480201436e-01 2.735377197265625000e+03
4.173224144775388167e-01 2.742351562500000000e+03
4.193832659070575453e-01 2.748552490234375000e+03
4.214441173365762738e-01 2.754420898437500000e+03
4.235049687660950024e-01 2.768163574218750000e+03
4.255658201956137310e-01 2.780124755859375000e+03
4.276266716251324040e-01 2.792447753906250000e+03
4.296875230546511326e-01 2.804275634765625000e+03
4.317483744841698057e-01 2.815979980468750000e+03
4.338092259136885342e-01 2.826559814453125000e+03
4.358700773432072628e-01 2.834390136718750000e+03
4.379309287727259359e-01 2.847315429687500000e+03
4.399917802022446645e-01 2.856840332031250000e+03
4.420526316317633375e-01 2.862429199218750000e+03
4.441134830612820661e-01 2.873934814453125000e+03
4.461743344908007947e-01 2.886098632812500000e+03
4.482351859203194677e-01 2.895916015625000000e+03
4.502960373498381408e-01 2.908126464843750000e+03
4.523568887793568694e-01 2.919752685546875000e+03
4.544177402088755424e-01 2.929780029296875000e+03
4.564785916383942710e-01 2.939848632812500000e+03
4.585394430679130551e-01 2.951619873046875000e+03
4.606002944974317281e-01 2.962875000000000000e+03
4.626611459269504567e-01 2.970444091796875000e+03
4.647219973564691298e-01 2.985245849609375000e+03
4.667828487859878583e-01 2.994210205078125000e+03
4.688437002155065314e-01 3.001775390625000000e+03
4.709045516450253155e-01 3.013978271484375000e+03
4.729654030745439330e-01 3.029298583984375000e+03
4.750262545040627171e-01 3.039469726562500000e+03
4.770871059335813347e-01 3.054723388671875000e+03
4.791479573631001188e-01 3.068145751953125000e+03
4.812088087926188473e-01 3.080423095703125000e+03
4.832696602221375204e-01 3.091407714843750000e+03
4.853305116516563045e-01 3.103566894531250000e+03
4.873913630811749220e-01 3.118363037109375000e+03
4.894522145106937061e-01 3.131236816406250000e+03
4.915130659402123237e-01 3.141479248046875000e+03
4.935739173697311077e-01 3.152338867187500000e+03
4.956347687992497808e-01 3.163489013671875000e+03
4.976956202287685094e-01 3.171876708984375000e+03
4.997564716582871824e-01 3.183618164062500000e+03
5.018173230878059110e-01 3.187909912109375000e+03
5.038781745173246396e-01 3.194581054687500000e+03
5.059390259468433682e-01 3.195683105468750000e+03
5.079998773763620967e-01 3.201178466796875000e+03
5.100607288058807143e-01 3.202461914062500000e+03
5.121215802353995539e-01 3.205398437500000000e+03
5.141824316649181714e-01 3.206063964843750000e+03
5.162432830944369000e-01 3.205054687500000000e+03
5.183041345239556286e-01 3.199031250000000000e+03
5.203649859534743571e-01 3.194869140625000000e+03
5.224258373829929747e-01 3.190704101562500000e+03
5.244866888125117033e-01 3.182593017578125000e+03
5.265475402420304318e-01 3.179358154296875000e+03
5.286083916715491604e-01 3.175090332031250000e+03
5.306692431010678890e-01 3.171174316406250000e+03
5.327300945305866176e-01 3.170060302734375000e+03
5.347909459601053461e-01 3.164588623046875000e+03
5.368517973896239637e-01 3.156940673828125000e+03
5.389126488191426922e-01 3.154482666015625000e+03
5.409735002486614208e-01 3.150598876953125000e+03
5.430343516781801494e-01 3.141697021484375000e+03
5.450952031076987669e-01 3.135800537109375000e+03
5.471560545372176065e-01 3.129216064453125000e+03
5.492169059667362241e-01 3.124875488281250000e+03
5.512777573962549527e-01 3.119647705078125000e+03
5.533386088257736812e-01 3.113486328125000000e+03
5.553994602552924098e-01 3.111458740234375000e+03
5.574603116848111384e-01 3.107531982421875000e+03
5.595211631143297559e-01 3.105137451171875000e+03
5.615820145438485955e-01 3.100850585937500000e+03
5.636428659733672131e-01 3.098135009765625000e+03
5.657037174028859416e-01 3.094969482421875000e+03
5.677645688324046702e-01 3.090599853515625000e+03
5.698254202619233988e-01 3.092327148437500000e+03
5.718862716914420163e-01 3.089736816406250000e+03
5.739471231209607449e-01 3.090562011718750000e+03
5.760079745504794735e-01 3.090129394531250000e+03
5.780688259799982021e-01 3.087942382812500000e+03
5.801296774095169306e-01 3.090098632812500000e+03
5.821905288390356592e-01 3.093734863281250000e+03
5.842513802685543878e-01 3.094893798828125000e+03
5.863122316980730053e-01 3.097869873046875000e+03
5.883730831275917339e-01 3.100143066406250000e+03
5.904339345571104625e-01 3.099344238281250000e+03
5.924947859866291910e-01 3.099171630859375000e+03
5.945556374161478086e-01 3.103453125000000000e+03
5.966164888456666482e-01 3.108073486328125000e+03
5.986773402751852657e-01 3.110563232421875000e+03
6.007381917047039943e-01 3.113393554687500000e+03
6.027990431342227229e-01 3.114608642578125000e+03
6.048598945637414515e-01 3.113251464843750000e+03
6.069207459932601800e-01 3.111514160156250000e+03
6.089815974227787976e-01 3.109967041015625000e+03
6.110424488522976372e-01 3.112723876953125000e+03
6.131033002818162547e-01 3.114960693359375000e+03
6.151641517113349833e-01 3.118983398437500000e+03
6.172250031408537119e-01 3.123808349609375000e+03
