# 2theta(deg)  intensity
1.367374923485664251e+00 3.077740966796875000e+03
1.369435774915183091e+00 3.074188476562500000e+03
1.371496626344701930e+00 3.070994140625000000e+03
1.373557477774220548e+00 3.070595703125000000e+03
1.375618329203739165e+00 3.070087890625000000e+03
1.377679180633257783e+00 3.068649414062500000e+03
1.379740032062776622e+00 3.067718505859375000e+03
1.381800883492295240e+00 3.065721923828125000e+03
1.383861734921814080e+00 3.064511474609375000e+03
1.385922586351332697e+00 3.064768554687500000e+03
1.387983437780851537e+00 3.064446533203125000e+03
1.390044289210370154e+00 3.064065185546875000e+03
1.392105140639888772e+00 3.063609863281250000e+03
1.394165992069407611e+00 3.060914062500000000e+03
1.396226843498926229e+00 3.059037109375000000e+03
1.398287694928445068e+00 3.055892089843750000e+03
1.400348546357963686e+00 3.055239990234375000e+03
1.402409397787482526e+00 3.054244140625000000e+03
1.404470249217001143e+00 3.054366699218750000e+03
1.406531100646519761e+00 3.053034423828125000e+03
1.408591952076038378e+00 3.050578125000000000e+03
1.410652803505557218e+00 3.049035888671875000e+03
1.412713654935076057e+00 3.047979003906250000e+03
1.414774506364594675e+00 3.046722900390625000e+03
1.416835357794113515e+00 3.043796142578125000e+03
1.418896209223632132e+00 3.041709716796875000e+03
1.420957060653150750e+00 3.038446044921875000e+03
1.423017912082669367e+00 3.037150390625000000e+03
1.425078763512188207e+00 3.033447509765625000e+03
1.427139614941707046e+00 3.032788330078125000e+03
1.429200466371225664e+00 3.035039794921875000e+03
1.431261317800744282e+00 3.035308593750000000e+03
1.433322169230263121e+00 3.034015625000000000e+03
1.435383020659781739e+00 3.033368408203125000e+03
1.437443872089300356e+00 3.031705078125000000e+03
1.439504723518819196e+00 3.031382080078125000e+03
1.441565574948338035e+00 3.032057373046875000e+03
1.443626426377856653e+00 3.034041503906250000e+03
1.445687277807375271e+00 3.032767822265625000e+03
1.447748129236894110e+00 3.030722412109375000e+03
1.449808980666412728e+00 3.030509521484375000e+03
